presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Malin Johansson,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 1,female,male,unknown
José da Silva,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 1,female,male,unknown
David McCann,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 1,male,male,unknown
Gilles Guitton,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 1,male,male,unknown
Owen O'Driscoll,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,male,male,unknown
Sergi Hernández Burgos,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,male,male,unknown
Frédéric Nouguier,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,unknown,male,unknown
Andreas Theodosiou,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,male,male,unknown
Julien Vadnais,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,male,male,unknown
Aurélien Colin,Paco Lopez-Dekker (Delft University Of Technology),Björn Rommen (ESA/ESTEC),A.08.02 Advances in the theory and methodology of SAR Oceanography - PART 2,male,male,unknown
Jonas-frederik Jans,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,male,male,female
Francesca Carletti,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,female,male,female
